SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_glsA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gltS	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narB	gtdb_r207_narC	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_nod	gtdb_r207_norB	gtdb_r207_norC	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfB	gtdb_r207_nrfC	gtdb_r207_nrfD	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	gtdb_r207_ureA	gtdb_r207_ureB	gtdb_r207_ureC	gtdb_r207_ureD	gtdb_r207_ureE	gtdb_r207_ureF	gtdb_r207_ureG	gtdb_r207_ureJ	read_pair_count
45_SD7496_H095_pH6	5609	87	140	185	59	0	2834	49	37558	10126	26553	4496	43400	23779	37384	17892	294	55	154	694	545	4435	13653	324	24387	7219	6571	5585	960	507	32315	15614	90	3073	82	6288	9845	503	2999	805	4777	1722	2330	4739	3035	651	12457	347	2045	48	0	2766	50	1715	1631	9639	1933	1097	2068	3112	840	97566227
46_SD7497_H096_pH6	7187	284	330	543	81	0	3315	66	42853	11249	33884	5752	59505	28166	49322	21693	672	123	353	817	696	5230	15505	332	27894	9599	8411	6998	1137	484	37660	18624	109	3613	107	8268	11699	522	4365	756	6710	2653	3002	5123	3596	747	14478	496	2149	47	2	3231	66	2561	2184	13673	2517	1388	2198	4469	1338	146520826
47_SD7498_H097_pH6	4765	146	185	292	85	1	2382	65	24920	6670	21119	3025	36986	20169	32021	11735	451	94	262	542	428	3676	10488	197	19525	6266	6781	4760	942	498	25132	14168	111	2543	114	6008	8854	374	2781	452	4408	1511	1951	2818	1231	498	9029	333	1127	58	0	2313	66	1446	1475	8166	1764	922	1671	2729	1021	74186950
48_SD7499_H098_pH6	5962	179	199	375	70	0	2805	40	32936	8744	25947	4200	43307	22904	37390	15623	468	127	263	680	510	4744	12314	270	22922	7580	6792	5079	949	503	30017	15553	102	3052	72	6812	9600	449	3323	610	4791	1728	2353	3646	2082	598	10871	333	1578	56	0	2752	41	1853	1746	9915	2101	1176	2011	3532	1116	91572050
49_SD7500_H099_pH6	1487	42	58	64	30	3	844	24	9328	2419	6530	1141	11037	6560	9712	4013	111	19	83	261	170	1613	3811	66	6918	2024	1755	1371	186	129	8834	4289	40	923	36	1913	2766	117	904	139	1336	534	799	1007	679	187	3174	142	527	18	4	820	24	456	468	2663	566	299	543	879	324	23024539
50_SD7501_H100_pH6	3238	138	165	227	45	0	1606	39	16722	4733	13806	2129	24490	14209	21468	8122	325	64	187	358	311	2745	6940	146	13001	4217	4483	3244	673	389	16882	8979	55	1731	52	4210	5544	265	1882	301	2972	1063	1448	1865	818	398	6208	262	736	34	0	1552	40	1058	942	5252	1280	676	1168	1932	673	45780001
51_SD7502_H101_pH5.5	1856	40	65	74	20	3	927	11	9125	2941	7815	532	13074	7987	11587	4722	215	29	139	252	201	1696	3770	64	7034	2736	2793	1828	408	190	8979	4467	23	987	17	2572	2594	128	911	145	1596	545	961	663	216	209	3695	186	346	12	1	907	10	354	354	2231	446	196	496	770	254	23266406
52_SD7503_H102_pH5.5	3992	130	162	164	23	0	1881	23	19683	6106	16545	1564	29637	16326	25664	10252	389	73	227	363	390	3461	7929	119	14881	5607	6165	3988	809	394	19274	9724	43	2014	32	5272	5463	231	1937	376	3612	1200	1774	1849	774	415	7878	334	764	16	0	1827	23	903	896	5173	1137	581	1170	1778	676	57045468
53_SD7504_H103_pH5.5	3777	155	218	323	20	0	1812	10	16927	5534	16321	1051	25948	15009	22816	9183	503	30	277	349	343	3086	7468	130	13687	5595	6339	4213	859	402	17607	8613	19	1946	21	5337	4734	181	2075	247	3534	1165	1619	1248	377	346	7346	367	626	8	2	1765	13	747	648	4240	874	533	857	1520	566	47746479
54_SD7505_H104_pH5.5	4834	128	164	231	35	0	2153	30	23276	7007	20225	1743	34188	20116	29950	11713	495	63	320	422	438	4083	9760	166	18205	6732	6920	4850	978	515	23576	11807	49	2297	36	6956	6762	321	2476	402	4336	1373	2116	2079	633	457	9840	441	906	30	0	2079	30	1076	963	6051	1445	762	1307	2395	780	61969084
55_SD7506_H105_pH5.5	2381	82	78	138	14	0	1209	11	12064	3535	9739	992	16213	9854	14195	5619	260	36	159	234	209	2183	4997	75	8940	3292	3356	2370	412	244	11684	5794	21	1281	13	3136	3485	139	1319	154	2289	762	1168	1254	436	265	4698	167	507	10	0	1173	10	606	526	3269	709	363	730	1166	435	32563620
56_SD7507_H106_pH5.5	4926	186	251	325	48	0	2117	32	23969	7520	20788	1733	35579	20634	31288	12487	632	74	381	465	458	4028	9515	202	17885	7331	7479	5073	994	480	23465	11289	65	2243	53	7158	6160	280	2443	310	4726	1503	2249	2044	617	493	10411	499	884	32	0	2047	33	1092	1044	5782	1330	630	1236	2226	763	65999021
57_SD7508_H107_pH5.5	3580	127	143	225	29	1	1635	16	15401	5097	14221	841	24081	13148	20856	8588	388	52	217	318	292	2752	6552	132	11701	5012	5918	3681	818	345	15353	8034	41	1741	29	4656	4505	191	1735	207	2893	974	1398	1258	315	319	6811	301	516	22	0	1583	17	640	647	3820	809	431	769	1377	450	46112756
58_SD7509_H109_pH5.5	4132	90	102	172	19	3	1849	16	19304	6038	17575	1542	29228	16450	25391	10608	387	55	273	378	363	3328	7823	114	14803	5730	6440	4306	835	418	19285	10091	28	2021	23	5384	5798	272	2007	233	3196	1118	1637	1429	812	373	7929	312	800	12	1	1828	17	803	856	5147	1064	559	1069	1721	487	55430555
59_SD7510_H110_pH5.5	4981	92	116	211	25	1	2233	30	23711	7478	21859	1721	36110	20333	30929	13433	503	77	346	476	481	3905	9354	154	17157	7338	7834	5158	1017	472	22911	12064	39	2431	51	6880	6680	265	2520	261	4286	1406	2062	1821	732	442	10167	464	831	15	2	2179	32	985	966	5980	1221	641	1293	2171	635	71913722
60_SD7511_H111_pH5.5	1246	43	49	55	23	0	708	13	6507	1977	5018	417	8446	5648	7547	3109	127	31	80	151	150	1354	2792	43	5081	1869	2073	1449	245	139	6459	2993	33	750	23	1695	1840	101	695	114	1290	479	714	703	225	178	2666	177	302	19	1	661	15	240	239	1617	328	152	326	602	216	16520806
61_SD7512_H113_pH5.5	1996	46	80	116	28	1	982	20	9864	2876	8059	634	13516	8392	12061	4818	211	29	136	218	207	1810	4010	64	7276	2869	3088	1971	392	198	9506	4714	38	1071	31	2692	2735	111	1123	153	1825	627	976	831	279	230	4079	190	404	17	0	954	22	381	407	2335	535	258	492	888	286	24753808
62_SD7513_H114_pH5.5	800	25	25	40	9	1	454	1	3877	1225	3521	228	6033	3788	5257	1999	83	10	58	102	96	888	1811	29	3261	1213	1440	934	187	69	4010	2311	10	491	1	1189	1486	42	417	49	789	289	414	311	87	105	1658	97	162	6	2	441	1	158	179	1079	218	105	223	344	106	12039388
63_SD7514_H115_pH5.5	3223	142	162	171	16	0	1472	16	16201	4964	13868	1062	22424	13434	19663	8321	359	51	222	338	284	2799	6375	106	12160	4745	5524	3614	791	377	15581	7644	25	1616	26	4250	4297	187	1684	305	2951	986	1364	1530	609	342	6628	301	676	12	3	1430	17	744	656	3985	791	472	825	1406	540	42227730
64_SD7515_H116_pH5.5	3422	85	102	123	17	2	1508	26	16631	5043	14276	1010	24180	14535	21137	8402	369	52	272	355	362	2958	6714	112	12396	5037	5138	3770	705	344	16236	7943	31	1655	33	4705	4434	180	1763	256	3164	974	1598	1375	471	338	7285	327	656	13	0	1456	28	736	642	4017	810	403	873	1350	557	44937088
65_SD7516_H117_pH5.5	3938	79	114	169	30	1	1890	22	20557	5886	16683	1426	27233	16227	23668	10057	397	110	260	350	345	3473	7917	133	14832	5772	6060	4318	788	384	19468	9665	38	2050	40	5210	5616	245	1937	343	3777	1249	1773	1984	700	455	8138	334	783	22	0	1839	27	887	805	5003	1036	599	954	1836	619	54106774
66_SD7517_H119_pH5.5	4388	88	118	140	55	0	1929	21	21159	7071	18789	1219	31074	18229	27058	11923	455	65	345	426	430	3729	8277	127	15310	6617	7194	4822	929	447	20446	9991	71	2096	40	6143	5415	212	2109	285	4070	1349	1984	1494	451	468	9311	448	812	38	0	1874	22	856	817	5006	1052	610	1060	1909	617	59611258
67_SD7518_H120_pH5.5	4178	87	145	170	51	0	2406	35	19061	5660	19812	1541	33634	17862	29105	9508	371	100	225	374	296	3553	9185	174	17167	6110	7713	4782	1211	621	21650	12703	72	2555	62	6167	7709	439	2231	338	4421	1518	1670	1812	504	410	8021	312	648	32	0	2333	41	1158	990	5979	1259	742	1268	2116	744	60410793
68_SD7519_S121	4482	68	69	113	30	0	1860	25	20705	6635	17974	1494	30367	17239	26540	11699	386	20	313	415	401	3450	8177	146	15299	6346	6457	4264	895	343	19990	10578	39	2006	35	5873	6186	279	1928	199	3305	1104	1863	1420	901	374	8481	311	859	18	1	1832	25	908	856	5172	1138	567	1017	1821	578	58452978
69_SD7520_S122	2802	48	53	63	18	0	1317	22	13039	4324	11960	727	19887	11083	17202	7442	303	46	238	284	289	2288	5589	75	9862	4190	4270	2964	632	243	12957	6604	26	1394	31	3789	3660	151	1422	125	2345	818	1274	852	334	264	5580	259	464	11	0	1293	23	546	513	3031	642	283	671	1170	332	38648582
70_SD7521_S123	1410	25	19	23	3	0	676	2	5839	2265	5270	197	8193	5159	7309	3752	129	6	111	148	143	1057	2518	32	4410	2138	2427	1370	340	133	5669	3118	4	726	5	1793	1647	66	653	49	978	318	669	384	86	131	2417	118	201	1	0	647	2	186	158	1104	224	131	242	413	132	14994537
71_SD7522_S124	2669	39	27	62	14	0	1268	25	11846	4169	10770	586	17481	10667	15339	7062	237	17	186	274	274	2163	5009	66	9003	4089	4453	2988	633	262	11831	5984	18	1331	29	3684	3327	159	1160	89	2006	637	1136	772	281	252	5150	231	435	7	0	1243	25	437	409	2678	594	284	584	943	298	32164046
72_SD7523_S125	9607	111	126	206	68	0	3960	37	40011	13357	39934	1893	67594	37451	58744	25044	975	97	793	712	836	6622	16451	227	31765	14133	17293	10307	2392	958	42220	21491	81	4356	50	13239	11480	493	3992	286	7652	2247	3683	2418	538	610	18957	777	1290	51	1	3888	38	1764	1653	9556	2340	1137	2150	3401	1011	122726151
73_SD7524_S126	1087	3	5	6	15	0	570	12	4795	1789	4147	224	7003	4527	6182	2955	95	14	79	146	123	960	2192	35	4012	1684	1950	1124	268	108	5144	2860	22	625	14	1590	1581	70	473	21	882	295	583	355	64	116	2169	114	181	9	0	574	12	183	171	1141	251	112	221	394	97	13493034
74_SD7525_S127	3454	27	25	55	6	0	1746	4	14662	5171	14417	487	23859	13089	20702	9538	210	18	166	265	306	2534	6291	88	11547	5401	6513	3619	926	355	15088	8387	7	1891	9	4784	4618	199	1534	48	2356	799	1387	1010	127	297	5994	270	417	5	1	1708	4	524	516	3027	620	320	577	1102	291	45860990
75_SD7526_S128	3518	36	33	57	22	0	1558	16	15588	5286	14090	587	23038	13400	20127	9458	321	35	255	334	330	2703	5909	98	10993	5185	5842	3674	834	345	14565	7393	28	1667	15	4614	3893	135	1389	70	2676	799	1640	885	185	298	6616	297	488	20	2	1529	16	563	484	3252	659	317	620	1126	319	44214688
76_SD7527_S129	2278	50	35	66	16	0	1054	15	9854	3346	9164	455	14563	8860	12781	5631	247	19	176	202	223	1886	4164	51	7630	3263	3882	2428	535	209	9915	4977	19	1115	19	3188	2709	109	1053	83	1745	568	1080	621	161	237	4451	206	360	14	1	1021	15	338	351	2193	432	216	471	825	254	27030406
77_SD7528_S130	2491	19	13	37	15	0	1127	5	10585	3682	9816	339	15151	9167	13353	6693	225	18	181	216	238	1935	4499	64	8095	3562	4617	2732	621	276	10809	5336	20	1202	10	3390	2825	131	1044	36	1828	553	1098	632	95	222	4669	220	328	16	2	1094	5	307	280	2005	346	189	410	729	177	30773329
78_SD7529_S131	3654	78	85	120	12	1	1615	14	15539	5492	15239	625	24675	14321	21577	9692	428	35	291	296	350	2812	6507	85	12136	5569	6979	4026	932	411	15795	8481	20	1752	22	5110	4602	200	1792	99	2959	935	1577	1008	180	309	6823	314	557	8	0	1571	14	558	525	3167	652	348	704	1145	306	44489134
79_SD7530_S132	3022	37	27	32	11	0	1360	10	13183	4460	11796	488	20141	11891	17654	7942	252	13	219	266	251	2275	5273	77	9762	4295	4982	3103	682	317	12804	6959	17	1448	13	4407	3717	144	1322	62	2399	749	1336	798	158	259	5754	248	406	3	0	1340	11	461	426	2858	672	333	665	1057	300	35034875
80_SD7531_S133	3826	95	102	126	22	0	1734	19	18340	5925	16520	1394	27210	15780	23590	10305	414	32	299	360	371	2955	7514	144	13979	5683	6083	3996	842	386	18185	9221	29	1884	25	5141	5311	244	1854	183	3083	1046	1717	1388	778	357	7678	311	778	15	2	1705	20	820	792	4747	1055	551	1004	1756	445	51824521
81_SD7532_S134	4134	51	54	92	31	0	1817	29	18466	6112	16669	1155	27612	15673	23915	10871	347	35	302	358	394	3014	7230	128	13317	5943	6150	4008	915	354	17643	9369	38	1975	32	5265	5157	235	1787	135	3098	1041	1743	1241	478	339	7567	345	713	16	1	1786	30	734	709	4272	916	435	940	1474	470	53472339
82_SD7533_S135	4244	75	85	70	35	0	1756	41	19306	6530	17316	1077	28324	16415	24484	11140	461	54	394	382	448	3309	7539	92	13875	6206	6911	4490	905	390	18513	8933	44	1904	62	5521	5009	211	1810	160	3522	1092	1961	1352	487	385	8537	422	766	27	7	1704	42	727	718	4251	817	410	802	1598	424	55759709
83_SD7534_S136	4048	44	44	56	16	0	1828	8	17893	6296	17248	719	27836	15950	24175	11022	378	34	328	412	423	3220	7519	100	14014	6166	7153	4611	988	391	18519	8847	27	1954	14	5867	4818	175	1814	106	3337	968	1783	1180	236	339	8208	397	673	11	2	1784	9	689	663	3985	749	407	773	1496	371	55998759
84_SD7535_S137	4824	68	59	113	21	0	2168	23	21343	7318	19954	905	32947	19395	28754	12971	547	41	420	417	474	3834	8919	105	16813	7352	8257	5091	1078	465	22198	11104	28	2359	27	6817	6124	238	2085	136	3757	1141	2146	1329	292	404	9772	420	707	18	0	2141	23	840	828	4651	1050	536	1052	1867	568	61269236
85_SD7536_S138	2675	16	13	37	8	0	1207	6	11819	4181	10253	458	16839	10248	14845	7358	222	17	210	243	254	2037	4658	88	8535	3750	4486	2695	599	241	11259	6137	8	1292	11	3847	3381	118	1038	38	2074	705	1206	770	104	248	4823	232	405	7	0	1183	6	388	366	2566	520	271	501	875	265	32941333
86_SD7537_S139	1642	11	12	16	11	0	786	3	7383	2504	6581	235	10614	6480	9339	4335	127	6	92	153	154	1401	2880	27	5260	2579	2846	1607	370	162	6936	3941	12	834	5	2265	2152	53	733	29	1207	441	770	459	70	168	2983	135	209	10	0	761	3	245	220	1535	308	160	299	538	147	20488883
87_SD7538_S140	4520	45	36	57	30	1	2098	17	18687	6438	18015	813	30623	17079	26506	11640	347	40	286	377	404	3192	8065	121	15082	6321	7802	4706	1106	394	19746	10780	36	2238	24	6403	6102	253	1831	86	3420	1046	1916	1080	190	368	8334	291	563	21	1	2053	17	712	712	4281	967	490	933	1602	405	60168416
88_SD7539_S141	1017	14	7	10	0	0	555	8	4811	1636	3957	92	6091	3667	5391	3006	32	0	20	111	85	759	1873	27	3403	1631	1781	1014	266	121	4325	2528	2	584	1	1328	1390	67	426	12	664	239	446	239	23	112	1579	63	101	0	1	547	7	114	94	824	144	82	166	320	54	12050388
89_SD7540_S142	688	16	4	24	0	0	329	3	3130	1103	2752	41	3885	2616	3424	1995	12	2	14	82	51	571	1137	16	1969	1025	1077	626	202	67	2576	1600	0	339	0	856	784	21	236	9	446	144	350	147	11	63	992	49	64	0	0	319	3	60	67	556	78	36	114	198	17	8029360
90_SD7541_S143	1199	26	18	59	0	1	614	1	5361	2016	4863	131	7138	4173	6192	3719	40	2	27	107	62	843	2069	23	3478	1944	2107	1172	290	142	4680	2827	2	659	1	1422	1469	53	439	19	733	237	438	271	65	91	1836	70	100	0	0	602	0	103	137	959	157	94	155	360	47	15427687
91_SD7542_S144	1570	28	39	47	7	0	864	8	8553	2757	7139	777	11504	6751	10116	4848	92	15	47	185	141	1250	3536	47	6357	2483	2539	1582	362	144	8218	4793	7	950	10	2098	2802	100	791	72	1202	465	761	611	463	183	3052	95	329	7	1	846	10	351	329	2165	388	219	425	731	168	22999463
93_SD7544_S146	1116	20	18	34	4	0	650	1	5278	2107	4640	178	6960	4445	6137	3696	45	4	26	103	69	819	2183	23	3835	1993	2034	1079	252	126	4841	2899	3	702	2	1396	1560	82	479	34	768	279	430	290	103	101	1778	52	116	2	0	650	0	138	111	982	193	80	169	357	58	13813366
94_SD7545_S147	2451	29	24	59	2	1	1391	7	11892	4639	10978	307	15931	9508	14075	9028	77	1	48	202	147	1599	4098	42	7452	4400	4418	2538	621	281	9907	6552	1	1479	4	3171	3394	186	1218	24	1977	670	965	509	157	213	3949	112	246	1	0	1407	5	304	289	1875	406	177	365	756	117	30773388
95_SD7546_S148	1226	19	16	35	2	1	686	4	5890	2215	5023	180	7552	4442	6638	3963	20	7	11	118	85	895	2169	17	3697	2061	2045	1136	307	105	4836	3170	5	761	4	1514	1666	40	488	19	869	313	522	295	94	120	1956	82	139	1	2	685	5	143	162	1029	176	80	187	363	65	15384523
96_SD7547_S149	662	5	4	8	0	0	377	1	3066	1257	2677	69	3916	2604	3476	2131	9	3	7	73	44	483	1263	12	2142	1148	1108	639	179	68	2819	1781	0	388	0	895	982	39	274	8	483	161	304	136	13	73	963	52	63	0	1	366	1	67	58	545	80	62	97	223	23	7610304
97_SD7548_S150	4698	67	43	176	3	0	2314	2	21139	7481	21146	337	31239	16202	26221	16389	139	12	79	278	172	2448	6952	62	12503	8319	9111	4827	1298	452	17043	10830	2	2507	3	5476	5570	261	1868	15	3308	1086	1442	929	86	267	6942	129	253	2	1	2321	1	540	551	3353	665	304	633	1226	185	71960988
98_SD7549_S151	1447	9	12	28	1	0	749	4	6854	2506	6156	114	9492	5410	8296	4591	31	9	22	129	93	954	2690	21	4668	2429	2617	1446	395	137	6177	3758	3	761	3	2034	1965	83	579	12	989	332	585	276	28	124	2293	57	119	1	0	716	1	156	153	1228	229	92	217	466	62	18819383
